Month,n,Mean (h),Median (h),Std (h),t-stat,p-value,Sig.
All,360,-0.2306,0.0,1.0068,-4.3451,0.0,***
Jan,30,-0.4,0.0,0.4983,-4.397,0.0001,***
Feb,30,-0.4,0.0,0.4983,-4.397,0.0001,***
Mar,30,-0.5,0.0,0.6823,-4.0139,0.0004,***
Apr,30,-0.4,0.0,0.4983,-4.397,0.0001,***
May,30,-0.4,0.0,0.4983,-4.397,0.0001,***
Jun,30,0.1,0.5,1.0619,0.5158,0.6099,ns
Jul,30,-0.2,0.0,0.7611,-1.4392,0.1608,ns
Aug,30,0.1,0.0,0.8449,0.6483,0.5219,ns
Sep,30,0.3,1.0,0.9154,1.7951,0.0831,ns
Oct,30,-0.8,-1.0,0.4068,-10.7703,0.0,***
Nov,30,-0.4,0.0,0.4983,-4.397,0.0001,***
Dec,30,0.2333,-1.0,2.4731,0.5168,0.6092,ns
