fips_int,county_name,county_share,n_nodes,n_substation_nodes,n_uncovered_nodes,alpha,equal_pool_share,envelope_pool_share
6001,Alameda,0.02930792,99,40,59,0.5959596,0.01746634,0.01184159
6003,Alpine,0.0,1,1,0,0.0,0.0,0.0
6005,Amador,0.00179953,19,10,9,0.47368421,0.00085241,0.00094712
6007,Butte,0.00415314,55,17,38,0.69090909,0.00286944,0.0012837
6009,Calaveras,0.00075037,13,3,10,0.76923077,0.00057721,0.00017316
6011,Colusa,0.00108688,15,8,7,0.46666667,0.00050721,0.00057967
6013,Contra Costa,0.03545979,125,50,75,0.6,0.02127588,0.01418392
6017,El Dorado,0.00404581,26,6,20,0.76923077,0.00311216,0.00093365
6019,Fresno,0.02993839,123,50,73,0.59349593,0.01776831,0.01217008
6021,Glenn,0.00094666,15,8,7,0.46666667,0.00044178,0.00050489
6023,Humboldt,0.00246191,32,19,13,0.40625,0.00100015,0.00146176
6025,Imperial,0.01185329,98,0,98,1.0,0.01185329,0.0
6027,Inyo,0.00020944,30,3,27,0.9,0.0001885,2.094e-05
6029,Kern,0.03150269,259,85,174,0.67181467,0.02116397,0.01033872
6031,Kings,0.00443453,33,10,23,0.6969697,0.00309073,0.0013438
6033,Lake,0.00099791,18,8,10,0.55555556,0.0005544,0.00044352
6035,Lassen,0.00026278,27,0,27,1.0,0.00026278,0.0
6037,Los Angeles,0.21371783,524,200,324,0.61832061,0.13214614,0.08157169
6039,Madera,0.00480004,22,11,11,0.5,0.00240002,0.00240002
6041,Marin,0.0039172,18,15,3,0.16666667,0.00065287,0.00326433
6043,Mariposa,0.00035875,5,3,2,0.4,0.0001435,0.00021525
6045,Mendocino,0.00120001,23,12,11,0.47826087,0.00057392,0.00062609
6047,Merced,0.00925488,51,17,34,0.66666667,0.00616992,0.00308496
6049,Modoc,0.00089305,14,0,14,1.0,0.00089305,0.0
6051,Mono,0.00018384,9,4,5,0.55555556,0.00010213,8.17e-05
6053,Monterey,0.00742537,56,28,28,0.5,0.00371269,0.00371269
6055,Napa,0.00410673,10,10,0,0.0,0.0,0.00410673
6057,Nevada,0.00210413,19,4,15,0.78947368,0.00166115,0.00044297
6059,Orange,0.07851436,120,70,50,0.41666667,0.03271432,0.04580004
6061,Placer,0.01125941,67,18,49,0.73134328,0.00823449,0.00302492
6063,Plumas,0.00043804,26,7,19,0.73076923,0.0003201,0.00011793
6065,Riverside,0.04026004,172,59,113,0.65697674,0.02644991,0.01381013
6067,Sacramento,0.03009504,289,2,287,0.99307958,0.02988677,0.00020827
6069,San Benito,0.00131605,5,1,4,0.8,0.00105284,0.00026321
6071,San Bernardino,0.09357609,236,101,135,0.5720339,0.0535287,0.04004739
6073,San Diego,0.13129687,183,98,85,0.46448087,0.06098488,0.07031198
6075,San Francisco,0.01305991,11,7,4,0.36363636,0.00474906,0.00831085
6077,San Joaquin,0.01964885,97,39,58,0.59793814,0.0117488,0.00790005
6079,San Luis Obispo,0.0057206,27,19,8,0.2962963,0.00169499,0.00402561
6081,San Mateo,0.01695003,49,28,21,0.42857143,0.0072643,0.00968573
6083,Santa Barbara,0.00938639,42,23,19,0.45238095,0.00424622,0.00514016
6085,Santa Clara,0.05092843,103,38,65,0.63106796,0.0321393,0.01878913
6087,Santa Cruz,0.00315039,22,12,10,0.45454545,0.001432,0.0017184
6089,Shasta,0.00460665,93,22,71,0.76344086,0.0035169,0.00108975
6091,Sierra,0.00025528,6,1,5,0.83333333,0.00021273,4.255e-05
6093,Siskiyou,0.00183254,41,0,41,1.0,0.00183254,0.0
6095,Solano,0.01137061,50,16,34,0.68,0.00773202,0.0036386
6097,Sonoma,0.00597685,53,26,27,0.50943396,0.00304481,0.00293204
6099,Stanislaus,0.01560208,94,5,89,0.94680851,0.01477218,0.0008299
6101,Sutter,0.00224337,22,10,12,0.54545455,0.00122366,0.00101971
6103,Tehama,0.00122612,12,8,4,0.33333333,0.00040871,0.00081741
6105,Trinity,0.00030653,22,2,20,0.90909091,0.00027866,2.787e-05
6107,Tulare,0.01767385,56,33,23,0.41071429,0.0072589,0.01041495
6109,Tuolumne,0.00135666,26,7,19,0.73076923,0.00099141,0.00036525
6111,Ventura,0.01760891,65,23,42,0.64615385,0.01137807,0.00623085
6113,Yolo,0.0053106,18,8,10,0.55555556,0.00295034,0.00236027
6115,Yuba,0.00185658,23,9,14,0.60869565,0.00113009,0.00072649
