fips_int,county_name,county_share,n_nodes,n_substation_nodes,n_uncovered_nodes,alpha,equal_pool_share,envelope_pool_share
6001,Alameda,0.02930792,99,37,62,0.62626263,0.01835446,0.01095347
6003,Alpine,0.0,1,1,0,0.0,0.0,0.0
6005,Amador,0.00179953,19,7,12,0.63157895,0.00113655,0.00066299
6007,Butte,0.00415314,55,10,45,0.81818182,0.00339802,0.00075512
6009,Calaveras,0.00075037,13,2,11,0.84615385,0.00063493,0.00011544
6011,Colusa,0.00108688,15,4,11,0.73333333,0.00079704,0.00028983
6013,Contra Costa,0.03545979,125,38,87,0.696,0.02468002,0.01077978
6017,El Dorado,0.00404581,26,4,22,0.84615385,0.00342337,0.00062243
6019,Fresno,0.02993839,123,31,92,0.74796748,0.02239294,0.00754545
6021,Glenn,0.00094666,15,5,10,0.66666667,0.00063111,0.00031555
6023,Humboldt,0.00246191,32,11,21,0.65625,0.00161563,0.00084628
6025,Imperial,0.01185329,98,0,98,1.0,0.01185329,0.0
6027,Inyo,0.00020944,30,4,26,0.86666667,0.00018152,2.793e-05
6029,Kern,0.03150269,259,56,203,0.78378378,0.0246913,0.00681139
6031,Kings,0.00443453,33,11,22,0.66666667,0.00295635,0.00147818
6033,Lake,0.00099791,18,5,13,0.72222222,0.00072072,0.0002772
6035,Lassen,0.00026278,27,1,26,0.96296296,0.00025305,9.73e-06
6037,Los Angeles,0.21371783,524,181,343,0.65458015,0.13989545,0.07382238
6039,Madera,0.00480004,22,6,16,0.72727273,0.00349094,0.0013091
6041,Marin,0.0039172,18,11,7,0.38888889,0.00152336,0.00239384
6043,Mariposa,0.00035875,5,2,3,0.6,0.00021525,0.0001435
6045,Mendocino,0.00120001,23,8,15,0.65217391,0.00078262,0.0004174
6047,Merced,0.00925488,51,10,41,0.80392157,0.0074402,0.00181468
6049,Modoc,0.00089305,14,0,14,1.0,0.00089305,0.0
6051,Mono,0.00018384,9,1,8,0.88888889,0.00016341,2.043e-05
6053,Monterey,0.00742537,56,20,36,0.64285714,0.00477345,0.00265192
6055,Napa,0.00410673,10,7,3,0.3,0.00123202,0.00287471
6057,Nevada,0.00210413,19,2,17,0.89473684,0.00188264,0.00022149
6059,Orange,0.07851436,120,64,56,0.46666667,0.03664003,0.04187432
6061,Placer,0.01125941,67,14,53,0.79104478,0.0089067,0.00235271
6063,Plumas,0.00043804,26,3,23,0.88461538,0.0003875,5.054e-05
6065,Riverside,0.04026004,172,54,118,0.68604651,0.02762026,0.01263978
6067,Sacramento,0.03009504,289,2,287,0.99307958,0.02988677,0.00020827
6069,San Benito,0.00131605,5,1,4,0.8,0.00105284,0.00026321
6071,San Bernardino,0.09357609,236,77,159,0.67372881,0.06304491,0.03053118
6073,San Diego,0.13129687,183,85,98,0.53551913,0.07031198,0.06098488
6075,San Francisco,0.01305991,11,7,4,0.36363636,0.00474906,0.00831085
6077,San Joaquin,0.01964885,97,32,65,0.67010309,0.01316676,0.00648209
6079,San Luis Obispo,0.0057206,27,13,14,0.51851852,0.00296624,0.00275436
6081,San Mateo,0.01695003,49,23,26,0.53061224,0.0089939,0.00795614
6083,Santa Barbara,0.00938639,42,17,25,0.5952381,0.00558714,0.00379925
6085,Santa Clara,0.05092843,103,34,69,0.66990291,0.0341171,0.01681133
6087,Santa Cruz,0.00315039,22,10,12,0.54545455,0.0017184,0.001432
6089,Shasta,0.00460665,93,10,83,0.89247312,0.00411131,0.00049534
6091,Sierra,0.00025528,6,1,5,0.83333333,0.00021273,4.255e-05
6093,Siskiyou,0.00183254,41,0,41,1.0,0.00183254,0.0
6095,Solano,0.01137061,50,11,39,0.78,0.00886908,0.00250153
6097,Sonoma,0.00597685,53,17,36,0.67924528,0.00405975,0.0019171
6099,Stanislaus,0.01560208,94,4,90,0.95744681,0.01493816,0.00066392
6101,Sutter,0.00224337,22,8,14,0.63636364,0.0014276,0.00081577
6103,Tehama,0.00122612,12,6,6,0.5,0.00061306,0.00061306
6105,Trinity,0.00030653,22,1,21,0.95454545,0.0002926,1.393e-05
6107,Tulare,0.01767385,56,19,37,0.66071429,0.01167736,0.00599648
6109,Tuolumne,0.00135666,26,5,21,0.80769231,0.00109576,0.0002609
6111,Ventura,0.01760891,65,23,42,0.64615385,0.01137807,0.00623085
6113,Yolo,0.0053106,18,6,12,0.66666667,0.0035404,0.0017702
6115,Yuba,0.00185658,23,6,17,0.73913043,0.00137226,0.00048433
