,substation_name,subst_id,sys_name,existing_gen,queued_gen,total_gen,projected_load,der_penetration,max_remain_cap,voltage_kv,circuit_count,res_pct,com_pct,agr_pct,ind_pct,other_pct,res_total,com_total,agr_total,ind_total,other_total,note_sub
0,Acequia P.t.,2229.0,Rector 220/66 System,0.0,0.0,0.0,0.14,0.0,0.33,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
2,Aerojet,1201.0,Rio Hondo 220/66 System,0.0,0.0,0.0,3.28,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
5,Airchem,538.0,El Nido 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
6,Alamitos,118.0,Alamitos 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
7,Alamo,220.0,Bailey 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
12,Aliso Energy,1106.0,Santiago 220/66 System,0.0,0.0,0.0,1.2,0.0,10.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
16,Alpha Beta,1113.0,Olinda 220/66 System,0.0,0.0,0.0,1.97,0.0,2.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
18,Alton,973.0,Johanna 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
19,Altwind,7.0,Devers 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
20,Alumax,272.0,Vista C 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
25,Amboy,1627.0,Devers 220/115 System,0.0,0.0,0.0,0.56,0.0,2.5,12.0,1.0,0.0,34.0,0.0,0.0,66.0,0.0,17.0,0.0,0.0,33.0,Deliverability in this area has not been determined by previous interconnection studies.
26,Amco,531.0,La Fresa 220/66 System,0.0,0.0,0.0,14.02,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
27,Ameron,1048.0,Etiwanda A 220/66 System,0.0,0.0,0.0,33.53,0.0,80.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
31,Apl,1263.0,Hinson 220/66 System,0.0,0.0,0.0,6.05,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
32,Apollo,920.0,Barre 220/66 System,0.0,0.0,0.0,4.2,0.0,22.39,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
33,Appgen,16.0,Saugus 220/66 System,0.0,0.0,0.0,0.0,0.0,118.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
35,Aqua Mansa,280.0,Vista A 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
37,Arbors,1271.0,Etiwanda 220/66 System,0.0,0.0,0.0,26.0,0.0,50.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
38,Arbwind,54.0,Windhub 220/66 System,0.0,0.0,0.0,0.1,0.0,21.6,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
42,Arco,1104.0,Hinson 220/66 System,0.0,0.0,0.0,4.89,0.0,7.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
49,Astro,1103.0,Lighthipe 220/66 System,0.0,0.0,0.0,1.89,0.0,12.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
55,Avocado P.t.,1279.0,Santa Clara 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
56,Ayersman P.t.,1280.0,Goleta 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
57,Azusa,450.0,Rio Hondo 220/66 System,0.0,0.0,0.0,49.5,0.0,84.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
58,Badillo,451.0,Rio Hondo 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
62,Baker,1780.0,Kramer 220/115 System,0.0,0.0,0.0,5.6,0.0,5.6,12.0,3.0,12.5461,23.6162,0.0,0.0,63.8376,34.0,64.0,0.0,0.0,173.0,Interconnection studies in this area have identified inadequate deliverability.
68,Banwind,104.0,Devers 220/115 System,0.0,0.0,0.0,38.8,0.0,42.6,,,,,,,,,,,,,Deliverability in this area has not been determined by previous interconnection studies.
89,Big Bend Bia,1848.0,Parker 161/66 System,0.0,0.0,0.0,2.08,0.0,5.0,12.0,1.0,23.8806,22.3881,0.0,0.0,53.7313,16.0,15.0,0.0,0.0,36.0,Interconnection studies in this area have identified inadequate deliverability.
91,Big Creek 2,559.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,3.0,12.0,3.0,0.0,2.5641,0.0,0.0,97.4359,0.0,1.0,0.0,0.0,38.0,Interconnection studies in this area have identified inadequate deliverability.
92,Big Creek 3,150.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
93,Big Creek 3 0,151.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
94,Big Creek 4,154.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,Interconnection studies in this area have identified inadequate deliverability.
95,Big Creek 4 0,153.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
96,Big Creek 8,148.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,Interconnection studies in this area have identified inadequate deliverability.
97,Big Creek 8 0,149.0,Big Creek 220/220 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
99,Bigfoot P.t.,1289.0,Rector 220/66 System,0.0,0.0,0.0,0.12,0.0,0.75,4.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,23.0,Interconnection studies in this area have identified inadequate deliverability.
100,Bird Springs P.t.,1306.0,Vestal 220/66 System,0.0,0.0,0.0,0.01,0.0,0.1,2.4,1.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Interconnection studies in this area have identified inadequate deliverability.
104,Bishop Creek Plant 3,182.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
106,Bishop Creek Plant 5,184.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,3.8,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
107,Bishop Creek Plant 6,185.0,Inyo Sce 220/115 System,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
109,Black Meadows,1290.0,Parker 161/66 System,0.0,0.0,0.0,0.56,0.0,2.5,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,33.0,Interconnection studies in this area have identified inadequate deliverability.
110,Black Mountain,1775.0,Victor 220/115 System,0.0,0.0,0.0,11.0,0.0,28.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
114,Blue Ridge P.t.,1296.0,Victor 220/115 System,0.0,0.0,0.0,0.11,0.0,0.31,2.4,1.0,20.8333,20.8333,0.0,0.0,58.3333,5.0,5.0,0.0,0.0,14.0,Interconnection studies in this area have identified adequate deliverability.
120,Boost,1200.0,Del Amo 220/66 System,0.0,0.0,0.0,1.57,0.0,28.0,12.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,Interconnection studies in this area have identified adequate deliverability.
122,Borax U.s.,1639.0,Kramer 220/115 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified inadequate deliverability.
123,Borel,159.0,Windhub 220/66 System,0.0,0.0,0.0,11.0,0.0,11.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
126,Bousic Canyon,1051.0,Victor 220/115 System,0.0,0.0,0.0,0.0,0.0,7.5,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
129,Boxcar Wind,97.0,Windhub 220/66 System,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
134,Brew,1163.0,Rio Hondo 220/66 System,0.0,0.0,0.0,6.42,0.0,14.0,,,,,,,,,,,,,Interconnection studies in this area have identified adequate deliverability.
